"Date","Video Views","Profile Views","Likes","Comments","Shares"
"4月30日","16","7","0","0","0"
"5月1日","13","3","0","0","0"
"5月2日","14","4","0","-3","0"
"5月3日","8","1","0","-5","0"
"5月4日","28","10","0","0","0"
"5月5日","14","4","0","0","0"
"5月6日","22","27","0","-1","0"
"5月7日","13","5","0","0","0"
"5月8日","14","5","0","0","0"
"5月9日","19","10","2","0","0"
"5月10日","6","3","0","0","0"
"5月11日","10","7","0","0","0"
"5月12日","16","2","0","0","0"
"5月13日","32","6","0","0","0"
"5月14日","10","6","0","0","0"
"5月15日","8","5","0","0","0"
"5月16日","7","2","0","0","0"
"5月17日","21","6","0","0","0"
"5月18日","5","1","0","0","0"
"5月19日","14","8","0","-1","0"
"5月20日","20","5","0","0","0"
"5月21日","24","1","1","0","0"
"5月22日","149","6","1","0","0"
"5月23日","64","5","0","2","0"
"5月24日","11","3","0","0","0"
"5月25日","119","2","0","-2","0"
"5月26日","22","2","0","0","0"
"5月27日","23","5","0","0","0"
"5月28日","99","4","0","0","0"
"5月29日","18","4","0","-1","0"
"5月30日","10","0","0","0","0"
"5月31日","7","1","0","0","0"
"6月1日","261","2","5","0","0"
"6月2日","863","11","29","0","0"
"6月3日","1348","14","40","0","0"
"6月4日","879","9","38","0","0"
"6月5日","277","2","33","0","0"
"6月6日","244","5","21","0","0"
"6月7日","255","5","30","0","0"
"6月8日","730","3","28","0","0"
"6月9日","465","3","35","0","0"
"6月10日","227","33","27","0","0"
"6月11日","140","7","7","0","0"
"6月12日","134","4","9","0","0"
"6月13日","103","2","5","0","0"
"6月14日","99","1","6","0","0"
"6月15日","40","1","1","0","0"
"6月16日","748","6","37","0","0"
"6月17日","555","4","7","0","0"
"6月18日","696","7","38","-2","0"
"6月19日","157","4","8","0","0"
"6月20日","672","8","69","0","0"
"6月21日","68","1","2","0","0"
"6月22日","1225","10","137","0","0"
"6月23日","495","9","6","0","0"
"6月24日","1273","4","51","0","0"
"6月25日","701","8","43","0","0"
"6月26日","100","2","3","0","1"
"6月27日","135","2","16","0","0"
"6月28日","152","5","8","0","0"
"6月29日","244","2","24","-1","0"
"6月30日","24","0","0","0","0"
"7月1日","201","4","0","0","0"
"7月2日","250","2","7","0","0"
"7月3日","109","0","12","0","0"
"7月4日","118","3","11","0","0"
"7月5日","40","3","2","0","0"
"7月6日","149","2","19","1","0"
"7月7日","38","2","4","0","0"
"7月8日","248","0","7","0","0"
"7月9日","54","3","1","0","0"
"7月10日","372","2","30","0","0"
"7月11日","107","2","15","0","0"
"7月12日","44","1","4","0","0"
"7月13日","344","2","17","0","0"
"7月14日","308","4","23","0","0"
"7月15日","107","0","7","0","0"
"7月16日","867","5","42","0","1"
"7月17日","201","4","9","0","0"
"7月18日","16","0","2","0","0"
"7月19日","566","6","58","0","0"
"7月20日","107","5","10","0","0"